record started at: 10-08-19 04:43:02

file format version: 4
captureMode: Offline
eye resolution: 320x240 
scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
93 93 29.95 0:00:00:03.63/600 0:00:00:03.43/600 272.84 210.55 196.79 100.21 -1000.00 -1000.00 42.00 39.00 
94 94 29.95 0:00:00:03.83/600 0:00:00:03.63/600 272.86 210.48 196.79 100.19 -1000.00 -1000.00 42.00 39.00 
95 95 29.95 0:00:00:03.103/600 0:00:00:03.83/600 272.81 210.39 196.80 100.17 -1000.00 -1000.00 41.00 39.00 
96 96 29.95 0:00:00:03.123/600 0:00:00:03.103/600 272.71 210.40 196.82 100.17 -1000.00 -1000.00 41.00 37.00 
97 97 29.95 0:00:00:03.143/600 0:00:00:03.123/600 272.69 210.48 196.83 100.19 -1000.00 -1000.00 41.00 37.00 
98 98 29.95 0:00:00:03.163/600 0:00:00:03.143/600 272.76 210.64 196.82 100.23 -1000.00 -1000.00 41.00 37.00 
99 99 29.95 0:00:00:03.183/600 0:00:00:03.163/600 272.87 210.71 196.79 100.25 -1000.00 -1000.00 40.00 37.00 
100 100 29.96 0:00:00:03.203/600 0:00:00:03.183/600 273.04 210.65 196.74 100.23 -1000.00 -1000.00 40.00 37.00 
101 101 29.96 0:00:00:03.223/600 0:00:00:03.203/600 273.00 210.49 196.75 100.19 -1000.00 -1000.00 40.00 37.00 
102 102 29.96 0:00:00:03.243/600 0:00:00:03.223/600 272.80 210.43 196.80 100.18 -1000.00 -1000.00 41.00 37.00 
103 103 29.96 0:00:00:03.263/600 0:00:00:03.243/600 272.51 210.26 196.87 100.14 -1000.00 -1000.00 41.00 37.00 
104 104 29.96 0:00:00:03.283/600 0:00:00:03.263/600 272.25 210.22 196.94 100.13 -1000.00 -1000.00 41.00 37.00 
105 105 29.96 0:00:00:03.303/600 0:00:00:03.283/600 283.40 211.24 193.94 100.39 -1000.00 -1000.00 38.00 37.00 
106 106 29.96 0:00:00:03.323/600 0:00:00:03.303/600 306.19 214.30 187.79 101.15 -1000.00 -1000.00 42.00 36.00 
107 107 29.96 0:00:00:03.343/600 0:00:00:03.323/600 329.65 217.79 181.43 102.01 -1000.00 -1000.00 43.00 38.00 
108 108 29.96 0:00:00:03.363/600 0:00:00:03.343/600 353.04 220.83 175.01 102.78 -1000.00 -1000.00 43.00 35.00 
109 109 29.96 0:00:00:03.383/600 0:00:00:03.363/600 365.51 222.89 171.58 103.30 -1000.00 -1000.00 43.00 36.00 
110 110 29.95 0:00:00:03.404/600 0:00:00:03.383/600 366.68 222.94 171.26 103.32 -1000.00 -1000.00 42.00 37.00 
111 111 29.95 0:00:00:03.424/600 0:00:00:03.404/600 367.10 222.62 171.13 103.24 -1000.00 -1000.00 42.00 36.00 
112 112 29.95 0:00:00:03.444/600 0:00:00:03.424/600 367.38 222.49 171.05 103.21 -1000.00 -1000.00 42.00 36.00 
113 113 29.95 0:00:00:03.464/600 0:00:00:03.444/600 367.42 222.40 171.03 103.19 -1000.00 -1000.00 43.00 37.00 
114 114 29.95 0:00:00:03.484/600 0:00:00:03.464/600 367.44 222.08 171.02 103.11 -1000.00 -1000.00 43.00 36.00 
115 115 29.95 0:00:00:03.504/600 0:00:00:03.484/600 367.58 222.01 170.98 103.09 -1000.00 -1000.00 42.00 37.00 
116 116 29.95 0:00:00:03.524/600 0:00:00:03.504/600 367.59 221.67 170.96 103.01 -1000.00 -1000.00 42.00 35.00 
117 117 29.95 0:00:00:03.544/600 0:00:00:03.524/600 364.33 215.07 171.68 101.42 -1000.00 -1000.00 42.00 33.00 
118 118 29.95 0:00:00:03.564/600 0:00:00:03.544/600 360.34 206.89 172.55 99.45 -1000.00 -1000.00 42.00 36.00 
119 119 29.95 0:00:00:03.584/600 0:00:00:03.564/600 356.64 198.50 173.34 97.43 -1000.00 -1000.00 42.00 35.00 
120 120 29.95 0:00:00:04.04/600 0:00:00:03.584/600 353.32 190.65 174.03 95.55 -1000.00 -1000.00 42.00 35.00 
121 121 29.95 0:00:00:04.24/600 0:00:00:04.04/600 353.27 188.98 173.99 95.16 -1000.00 -1000.00 42.00 35.00 
122 122 29.95 0:00:00:04.44/600 0:00:00:04.24/600 353.75 188.95 173.86 95.15 -1000.00 -1000.00 42.00 35.00 
123 123 29.95 0:00:00:04.64/600 0:00:00:04.44/600 353.87 189.10 173.83 95.19 -1000.00 -1000.00 42.00 36.00 
124 124 29.95 0:00:00:04.84/600 0:00:00:04.64/600 353.62 189.33 173.91 95.24 -1000.00 -1000.00 42.00 36.00 
125 125 29.95 0:00:00:04.104/600 0:00:00:04.84/600 354.16 188.60 173.73 95.07 -1000.00 -1000.00 41.00 31.00 
126 126 29.95 0:00:00:04.124/600 0:00:00:04.104/600 354.98 188.41 173.50 95.02 -1000.00 -1000.00 41.00 35.00 
127 127 29.95 0:00:00:04.144/600 0:00:00:04.124/600 355.51 187.86 173.33 94.89 -1000.00 -1000.00 41.00 35.00 
128 128 29.95 0:00:00:04.164/600 0:00:00:04.144/600 356.21 187.50 173.13 94.81 -1000.00 -1000.00 41.00 35.00 
129 129 29.95 0:00:00:04.184/600 0:00:00:04.164/600 356.04 188.03 173.19 94.93 -1000.00 -1000.00 41.00 35.00 
130 130 29.95 0:00:00:04.204/600 0:00:00:04.184/600 355.69 188.08 173.29 94.94 -1000.00 -1000.00 41.00 34.00 
131 131 29.95 0:00:00:04.224/600 0:00:00:04.204/600 355.50 188.23 173.35 94.98 -1000.00 -1000.00 41.00 35.00 
132 132 29.95 0:00:00:04.244/600 0:00:00:04.224/600 355.21 188.30 173.43 95.00 -1000.00 -1000.00 41.00 35.00 
133 133 29.95 0:00:00:04.264/600 0:00:00:04.244/600 355.00 188.67 173.50 95.08 -1000.00 -1000.00 40.00 35.00 
134 134 29.96 0:00:00:04.284/600 0:00:00:04.264/600 354.90 188.98 173.54 95.16 -1000.00 -1000.00 40.00 34.00 
135 135 29.96 0:00:00:04.304/600 0:00:00:04.284/600 354.75 189.10 173.58 95.19 -1000.00 -1000.00 40.00 34.00 
136 136 29.96 0:00:00:04.324/600 0:00:00:04.304/600 354.60 188.86 173.62 95.13 -1000.00 -1000.00 40.00 34.00 
137 137 29.96 0:00:00:04.344/600 0:00:00:04.324/600 354.46 188.48 173.65 95.04 -1000.00 -1000.00 40.00 33.00 
138 138 29.96 0:00:00:04.364/600 0:00:00:04.344/600 354.21 188.17 173.71 94.96 -1000.00 -1000.00 40.00 33.00 
139 139 29.96 0:00:00:04.384/600 0:00:00:04.364/600 354.13 187.89 173.72 94.90 -1000.00 -1000.00 40.00 34.00 
140 140 29.96 0:00:00:04.404/600 0:00:00:04.384/600 353.91 187.79 173.78 94.87 -1000.00 -1000.00 39.00 33.00 
141 141 29.96 0:00:00:04.424/600 0:00:00:04.404/600 353.76 187.60 173.81 94.83 -1000.00 -1000.00 38.00 33.00 
142 142 29.96 0:00:00:04.444/600 0:00:00:04.424/600 353.80 187.42 173.80 94.79 -1000.00 -1000.00 38.00 32.00 
143 143 29.96 0:00:00:04.464/600 0:00:00:04.444/600 353.70 187.39 173.82 94.78 -1000.00 -1000.00 39.00 33.00 
144 144 29.96 0:00:00:04.484/600 0:00:00:04.464/600 353.67 187.09 173.83 94.71 -1000.00 -1000.00 38.00 33.00 
145 145 29.96 0:00:00:04.504/600 0:00:00:04.484/600 353.69 187.04 173.82 94.70 -1000.00 -1000.00 39.00 34.00 
146 146 29.96 0:00:00:04.524/600 0:00:00:04.504/600 353.51 186.79 173.86 94.64 -1000.00 -1000.00 39.00 32.00 
147 147 29.95 0:00:00:04.545/600 0:00:00:04.524/600 353.24 186.35 173.92 94.53 -1000.00 -1000.00 39.00 31.00 
148 148 29.95 0:00:00:04.565/600 0:00:00:04.545/600 353.10 186.41 173.96 94.55 -1000.00 -1000.00 39.00 33.00 
149 149 29.95 0:00:00:04.585/600 0:00:00:04.565/600 352.63 185.64 174.07 94.36 -1000.00 -1000.00 39.00 33.00 
150 150 29.95 0:00:00:05.05/600 0:00:00:04.585/600 352.20 185.14 174.17 94.24 -1000.00 -1000.00 39.00 33.00 
151 151 29.95 0:00:00:05.25/600 0:00:00:05.05/600 351.80 184.77 174.27 94.15 -1000.00 -1000.00 39.00 33.00 
152 152 29.95 0:00:00:05.45/600 0:00:00:05.25/600 351.40 184.10 174.37 93.99 -1000.00 -1000.00 39.00 33.00 
153 153 29.95 0:00:00:05.65/600 0:00:00:05.45/600 351.42 184.23 174.36 94.03 -1000.00 -1000.00 39.00 33.00 
154 154 29.95 0:00:00:05.85/600 0:00:00:05.65/600 351.42 184.18 174.36 94.01 -1000.00 -1000.00 39.00 33.00 
155 155 29.95 0:00:00:05.105/600 0:00:00:05.85/600 353.93 185.46 173.70 94.32 -1000.00 -1000.00 38.00 33.00 
156 156 29.95 0:00:00:05.125/600 0:00:00:05.105/600 362.08 193.73 171.68 96.30 -1000.00 -1000.00 39.00 34.00 
157 157 29.95 0:00:00:05.145/600 0:00:00:05.125/600 368.31 214.81 170.56 101.36 -1000.00 -1000.00 39.00 31.00 
158 158 29.95 0:00:00:05.165/600 0:00:00:05.145/600 367.46 247.79 171.78 109.34 -1000.00 -1000.00 40.00 40.00 
159 159 29.95 0:00:00:05.185/600 0:00:00:05.165/600 362.29 280.99 174.23 117.43 -1000.00 -1000.00 39.00 40.00 
160 160 29.95 0:00:00:05.205/600 0:00:00:05.185/600 351.84 306.89 177.98 123.76 -1000.00 -1000.00 40.00 40.00 
161 161 29.95 0:00:00:05.225/600 0:00:00:05.205/600 343.10 319.80 180.85 126.91 -1000.00 -1000.00 39.00 40.00 
162 162 29.95 0:00:00:05.245/600 0:00:00:05.225/600 341.67 320.79 181.29 127.15 -1000.00 -1000.00 39.00 40.00 
163 163 29.95 0:00:00:05.265/600 0:00:00:05.245/600 342.35 319.85 181.06 126.92 -1000.00 -1000.00 40.00 41.00 
164 164 29.95 0:00:00:05.285/600 0:00:00:05.265/600 343.03 318.90 180.84 126.69 -1000.00 -1000.00 40.00 41.00 
165 165 29.95 0:00:00:05.305/600 0:00:00:05.285/600 343.62 317.84 180.65 126.43 -1000.00 -1000.00 40.00 41.00 
166 166 29.95 0:00:00:05.325/600 0:00:00:05.305/600 343.80 316.62 180.56 126.13 -1000.00 -1000.00 40.00 40.00 
167 167 29.96 0:00:00:05.345/600 0:00:00:05.325/600 343.98 315.68 180.47 125.89 -1000.00 -1000.00 40.00 40.00 
